team_id,team_name,team_short_name,team_abbreviation
315VnJ759x,Bay FC,Bay FC,BAY
4JMAk47qKg,Houston Dash,Houston,HOU
4wM4Ezg5jB,Boston Breakers,Boston,BOS
4wM4rZdqjB,Kansas City Current,Kansas City,KC
7vQ7BBzqD1,Seattle Reign FC,Seattle,SEA
7VqG1lYMvW,San Diego Wave FC,San Diego,SD
aDQ0lzvQEv,Washington Spirit,Washington,WAS
eV5D2w9QKn,Utah Royals FC,Utah Royals,UTA
eV5DR6YQKn,Racing Louisville FC,Louisville,LOU
KPqjw8PQ6v,Chicago Stars FC,Chicago,CHI
kRQa8JOqKZ,Angel City FC,Angel City,LA
kRQaWa15KZ,FC Kansas City,Kansas City,KC
Pk5LeeNqOW,Portland Thorns FC,Portland,POR
raMyrr25d2,NJ/NY Gotham FC,Gotham FC,NJY
XVqKeVKM01,Orlando Pride,Orlando,ORL
xW5pwDBMg1,Western New York Flash,Western New York,WNY
zeQZeazqKw,North Carolina Courage,North Carolina,NC
